name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
forsterite,nesosilicates,magnesium silicate (mg2sio4),orthorhombic,"colorless, green, yellow, yellow green, white","dipyramidal prisms often tabular, commonly granular or compact massive",conchoidal,7,vitreous,3.21 – 3.33,,biaxial (+),nα = 1.636 – 1.730 nβ = 1.650 – 1.739 nγ = 1.669 – 1.772,δ = 0.033 – 0.042,,,,fo[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbnm,"a = 4.7540 å, b = 10.1971å c = 5.9806å; z=4",140.691g·mol−1,perfect on {010} imperfect on {100},,white,transparent to translucent,82°,,9.ac.05,"on {100}, {011} and {012}",,,,,,,,,,1890 °c[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulexite,nesoborates,nacab5o6(oh)6·5h2o,triclinic,colorless to white,acicular to fibrous,uneven,2.5,vitreous; silky or satiny in fibrous aggregates,1.95 – 1.96,,biaxial (+),nα = 1.491 – 1.496 nβ = 1.504 – 1.506 nγ = 1.519 – 1.520,δ = 0.028,,"depending on fluorescent impurities, ulexite may fluoresce yellow, greenish yellow, cream, white under short waves and long waves uv",,ulx[1],pinacoidal (1) (same h-m symbol),p1,"a = 8.816(3)å, b = 12.87å c = 6.678(1)å; α = 90.25° β = 109.12°, γ = 105.1°; z=2",,perfect on {010} good on {110} poor on {110},brittle,white,transparent to opaque,measured: 73° to 78°,,6.ea.25,polysynthetic on {010} and {100},26.05.11.01,,,slightly soluble in water,,,,parallel fibrous masses can act as fiber optical light pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoky quartz,silicate minerals,sio2,α-quartz: trigonal trapezohedral class 3 2; β-quartz: hexagonal 622[1],"brown to grey, opaque","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",conchoidal,7– lower in impure varieties (defining mineral),,2.65; variable 2.59–2.63 in impure varieties,,uniaxial (+),nω = 1.543–1.545 nε = 1.552–1.554,+0.009 (b-g interval),"weak, from red-brown to green-brown",,,,,trigonal 32,"a = 4.9133 å, c = 5.4053 å; z=3",,{0110} indistinct,brittle,white,transparent to nearly opaque,,,04.da.05,"common dauphine law, brazil law and japan law",75.01.03.01,,,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[1],,,,"lattice: hexagonal, piezoelectric, may be triboluminescent, chiral (hence optically active if not racemic)",vitreous– waxy to dull when massive,1670 °c (β tridymite) 1713 °c (β cristobalite)[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purpurite,phosphate minerals,mn3+po4,orthorhombic,"brownish black, violet, dark pink, dark red, reddish purple",massive to granular,uneven,4-5,earthy,3.2 - 3.4,,biaxial (+),nα = 1.850(2) nβ = 1.860(2) nγ = 1.920(2),δ = 0.070,,,,pur[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pnmb,,149.91 g/mol,[100] [001] perfect,brittle,red,,38°,,8.ab.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pargasite,inosilicates,naca2(mg4al)(si6al2)o22(oh)2,monoclinic,"bluish green, grayish black, light brown",stout prismatic to tabular,splintery,5–6,vitreous,3.04–3.17,,biaxial (-),nα = 1.630 nβ = 1.640 nγ = 1.650,δ = 0.020 max.,,,,prg[1],prismatic (2/m) (same h-m symbol),c2/m,,,{110} perfect,,,"translucent, will transmit light on thin edges.",,,,simple and lamellar - common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ludwigite,borate mineral,mg2fe3+bo5,orthorhombic,"pitch-black, olive-black",massive - fibrous commonly in fanlike to felted aggregates,"brittle - conchoidal - very brittle fracture producing small, conchoidal fragments.",5.5,silky to submetallic,3.6 - 3.8,,biaxial (+),nα = 1.830 - 1.850 nβ = 1.830 - 1.850 nγ = 1.940 - 2.020,δ = 0.110 - 0.170,x = y = dark green; z = dark reddish brown,,,ldw[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbam,"a = 9.26, b = 12.26 c = 3.05[å]; z=4",195.26 g/mol,[001] perfect,,greenish black,"opaque, translucent in thin fragments",measured: 20° to 45°,,6.ab.30,,,,,slowly soluble in acid,,,,,,,,,,,,,,,limonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siderite,carbonate mineral,feco3,trigonal,"pale yellow to tan, grey, brown, green, red, black and sometimes nearly colorless","tabular crystals, often curved; botryoidal to massive",uneven to conchoidal,3.75–4.25,"vitreous, may be silky to pearly",3.96,,uniaxial (−),nω = 1.875  nε = 1.633,δ = 0.242,,,,sd[1],hexagonal scalenohedral (3m) h-m symbol: (3 2/m),r3c,a = 4.6916  c = 15.3796[å]; z=6,,perfect on {0111},brittle,white,translucent to subtranslucent,,,5.ab.05,lamellar uncommon on{0112},14.01.01.03,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrine quartz,silicate mineral[1],sio2,α-quartz: trigonal β-quartz: hexagonal,"colorless through various colors (pink, orange, purple, dark brown)
 to black","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",conchoidal,7– lower in impure varieties (defining mineral),vitreous– waxy to dull when massive,2.65; variable 2.59–2.63 in impure varieties,,uniaxial (+),nω = 1.543–1.545 nε = 1.552–1.554,+0.009 (b-g interval),none,,,qz[2],α-quartz: trapezohedral (class 3 2) β-quartz: trapezohedral (class 6 2 2)[3],α-quartz: p3221 (no. 154)[4]β-quartz: p6222 (no. 180) or p6422 (no. 181)[5],"a = 4.9133 å, c = 5.4053 å; z=3",60.083g·mol−1,{0110} indistinct,brittle,white,transparent to nearly opaque,,,4.da.05 (oxides),"common dauphine law, brazil law and japan law",75.01.03.01 (tectosilicates),,,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[3],,,,"lattice: hexagonal, piezoelectric, may be triboluminescent, chiral (hence optically active if not racemic)",,1670 °c (β tridymite) 1713 °c (β cristobalite)[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epidote,sorosilicates,{ca2}{al2fe3+}(sio4)(si2o7)o(oh),monoclinic,"pistachio-green, yellow-green, greenish black, brownish-green, green, black","prismatic with striations, fibrous, massive",flat regular to uneven,6–7,vitreous to resinous,3.38-3.49,,biaxial (-),nα = 1.715–1.751 nβ = 1.725–1.784 nγ = 1.734–1.797,δ = 0.019–0.046,strong,,,ep[1],prismatic (2m) (same h-m symbol),p21/m,,,{001} perfect and {100} imperfect,,greyish white,transparent to nearly opaque,,,,on [100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psilomelane,oxide minerals,"general formula:ba(mn2+)(mn4+)8o16(oh)4, or as (ba,h2o)2mn5o10barium manganese oxide hydroxide",monoclinic,black with gray pyrolusite bands,"botryoidal, mammillary, reniform",conchoidal and uneven,5.0 – 6.0,"sub-metallic, dull",3.7 – 4.7,vitreous to subadamantine,,,,,,,,,,,590.03 g/mol,none,,brownish black,opaque,,,,,,,,in hydrochloric acid,,,,hard black manganese oxides such as hollandite and romanechite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthracite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uvarovite,nesosilicate,ca3cr2si3o12,cubic,"green, emerald-green, green-black","euhedral crystals, granular, massive","uneven, conchoidal",6.5–7.5,vitreous,3.77 - 3.81,,isotropic,n = 1.865,,,,,uv[1],hexoctahedral (m3m) h-m symbol: (4/m 3 2/m),ia3d,a = 11.99å; z=8,,,,white,"transparent, translucent",,,9.ad.25,,,,,,,,,fluorescent red in both short and long uv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pallasite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stony-iron,"
main group pallasites
eagle station group
pyroxene pallasite grouplet
ungrouped pallasites
","meteoric iron, silicates","49 main group, 5 eagle station, 2 pyroxene grouplet, 38 ungrouped (93 total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soapstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammonoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meionite,tectosilicate scapolite group,ca4al6si6o24co3,tetragonal,"colorless, white, grey, pink, violet, blue, yellow, orange-brown, brown",,"irregular/uneven, conchoidal",5 - 6,"vitreous, resinous, pearly",2.74 - 2.78,,,,,,,,me[1],dipyramidal (4/m) (same h-m symbol),i4/m,"a = 12.179(1)å, c = 7.571(1)å, z=2",,distinct/good on {100}{110},brittle,white,"transparent, opaque",,,9.fb.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weloganite,carbonate mineral,"na2(sr,ca)3zr(co3)6·3h2o",triclinic,"yellow, pale yellow, amber, tan, white","roughly hexagonal, tapering crystals, pseudorhombohedral",conchoidal,3+1⁄2,vitreous,3.20 - 3.22,,biaxial (-),nα = 1.558 nβ = 1.646 nγ = 1.640,δ = 0.082,,,,wlg[1],pedial (1) (same h-m symbol),p1,"a = 8.966å, b = 8.98å c = 6.73å; α = 102.72° β = 116.65°, γ = 60.06°; z=1",814.16 g/mol,perfect on pseudo {0001},,white,translucent,measured: 15°,,5.cc.05,about [103] repeated at 120 degrees,15.3.4.4,,weak,,,,,pyroelectric. triboluminescent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diamond,native minerals,c,cubic,"typically yellow, brown, or gray to colorless. less often blue, green, black, translucent white, pink, violet, orange, purple, and red.",octahedral,irregular/uneven,10 (defining mineral),adamantine,3.52±0.01,adamantine,isotropic,2.418 (at 500nm),none,none,,,dia[1],hexoctahedral (m3m) h-m symbol: (4/m 3 2/m),fd3m (no. 227),,12.01g/mol,111 (perfect in four directions),,colorless,transparent to subtransparent to translucent,,,1.cb.10a,"spinel law common (yielding ""macle"")",1.3.6.1,"3.5–3.53g/cm3
3500–3530kg/m3",0.044,,,,,,,pressure dependent,,,,,,,,,,,,,,,,,,,,,interactive image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anorthoclase,feldspar,"(na,k)alsi3o8",triclinic,"colorless, also white, pale creamy yellow, red, green","short prismatic crystals; tabular, rhombic, flattened along [010]",uneven,6,vitreous to pearly on cleavage planes,2.57–2.60,,biaxial (−),nα = 1.519–1.529nβ = 1.524–1.534nγ = 1.527–1.536,δ = 0.008,,,,ano[1],pinacoidal (1) (same h–m symbol),c1,"a = 8.28, b = 12.97 c = 7.15[å]; α = 91.05° β = 116.26°, γ = 90.15°; z=4",,"perfect on [001], other partings",brittle,white,transparent,measured: 34°–60°,,9.fa.30,polysynthetic twinning produces a grid pattern on [100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manganoan calcite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stolzite,tungstate minerals,pbwo4,tetragonal,"reddish brown, brown, yellowish gray, smoky gray, straw-yellow, lemon-yellow; may be green, orange, red",crystals dipyramidal to tabular,conchoidal to uneven,2.5 - 3,"resinous, subadamantine",8.34,,uniaxial (-),nω = 2.270 nε = 2.180 - 2.190,δ = 0.090,,,,sz[1],dipyramidal (4/m) h-m symbol: (4/m),i41/a,"a = 5.461, c = 12.049[å]; z=4",,"imperfect on {001}, indistinct on {011}",brittle,white,translucent to transparent,,,7.ga.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enstatite,inosilicate,mgsio3,orthorhombic,"white, grey, green, yellow or brown - colorless in thin section.","prismatic crystals, commonly lamellar, fibrous, or massive",uneven,5 to 6,"vitreous, pearly on cleavage",3.2–3.3,,biaxial (+),nα = 1.650–1.668; nβ = 1.652–1.673; nγ = 1.659–1.679,δ = 0.009–0.011,"pink to green pleochroism diagnostic for enstatite, pale green to pale orange perpendicular to pink-green axis",,,en[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbca,"a = 18.23, b = 8.84 c = 5.19[å]; z=8",100.387g·mol−1,good/distinct on [210],brittle,gray,translucent to opaque,55–90°,,9.da.05,simple and lamellar on [100],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polyhalite,sulfate mineral,k2ca2mg(so4)4·2h2o,triclinic,"colorless, white, gray; often salmon-pink to brick-red from included iron oxide","typically fibrous, foliated, massive; rarely as tabular crystals; pseudo-orthorhombic",conchoidal,3.5,vitreous to resinous,2.78,,biaxial (-),nα = 1.546 - 1.548 nβ = 1.558 - 1.562 nγ = 1.567,δ = 0.021,,,,plhl[1],pinacoidal (1) (same h-m symbol),f1,"a = 6.95å, b = 8.88å, c = 6.95å; α = 104.06°, β = 113.94°, γ = 101.15°; z=4",,perfect on {101}; parting on {010},brittle,white,transparent,measured: 60° to 62°,,7.cc.65,"characteristically polysynthetic on {010}, {100}",,,,"soluble in water, with precipitation of gypsum and perhaps syngenite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beryllium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1560k (1287°c, 2349°f) ",,,,,,,,,,,,,,,,,,,,,,/bəˈrɪliəm/ (bə-ril-ee-əm),white-gray metallic,9.0121831±0.00000059.0122±0.0001(abridged)[1],4,group2 (alkaline earth metals),period2, s-block,[he] 2s2,"2, 2",solid,"2742k (2469°c, 4476°f) ",1.85g/cm3,1.690g/cm3 ,"5205k, mpa (extrapolated)",12.2kj/mol ,292kj/mol ,16.443j/(mol·k) ,"0,[2] +1,[3] +2 (anamphoteric oxide)",paulingscale: 1.57 ,"1st:899.5kj/mol 2nd:1757.1kj/mol 3rd:14,848.7kj/mol (more) ",empirical: 112pm ,96±3pm ,153pm ,primordial, hexagonalclose-packed (hcp),"12,890m/s (atr.t.)[4] ",11.3μm/(m⋅k) (at25°c) ,200w/(m⋅k) ,36nω⋅m (at20°c) ,diamagnetic ,−9.0×10−6cm3/mol[5],287gpa ,132gpa ,130gpa ,0.032 ,5.5 ,1670mpa ,590–1320mpa ,7440-41-7 ,louis nicolas vauquelin (1798),friedrich wöhler & antoine bussy (1828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alunite,sulfate minerals,kal3(so4)2(oh)6,trigonal,"yellow, red, to reddish brown, colorless if pure; may be white, pale shades of gray","fibrous to columnar, porcelaneous, commonly granular to dense massive",conchoidal,3.5– 4,"vitreous, somewhat pearly on {0001} for crystals, earthy if massive",2.6– 2.9,,uniaxial (+),nω = 1.572 nε = 1.592,δ = 0.020,,,,alu[1],hexagonal scalenohedral (3m) space group: (3 2/m),r3m,"a = 6.98, c = 17.32[å]; z=3",,"on {0001}, perfect",brittle,white,transparent to translucent,,,7.bc.10,,,,,,,,,"strongly pyroelectric
 radioactive 9.44% (k)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andesine,"plagioclase, feldspar, tectosilicate","(ca,na)(al,si)4o8, where ca/(ca + na) is between 30–50%",triclinic,"white, gray, green, yellow, flesh-red","crystals rare, to 2 cm; commonly massive or granular",uneven to conchoidal,6 – 6.5,subvitreous to pearly,2.66 – 2.68,,biaxial (+/-),nα = 1.543 – 1.554 nβ = 1.547 – 1.559 nγ = 1.552 – 1.562,δ = 0.009,,,,,pinacoidal (1) (same h-m symbol),p1,"a = 8.155å, b = 12.9å, c = 9.16å; α = 93.917°, β = 116.3333°, γ = 89.166°; z=8",,"perfect on {001}, good on {010}",brittle,white,transparent to translucent,measured: 76° to 83°,,,"common following albite, pericline, and carlsbad twin laws",,,,,,,,,,,,,,,,,,requires optical/chemical analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinohumite,nesosilicate,"(mg,fe)9(sio4)4(f,oh)2",monoclinic,"brownish to orange, yellow, red","granular, prismatic, twinned",subconchoidal to uneven,6,vitreous to resinous,3.17-3.35,,biaxial (+),nα = 1.623 - 1.702 nβ = 1.636 - 1.709 nγ = 1.651 - 1.728,+0.028,"x = golden yellow, yellow-brown, deep reddish yellow; y = pale yellow, yellow-orange, light yellow; z = pale yellow, yellow-orange, colorless",,,chu[1],prismatic (2/m) (same h-m symbol),p21/c,"a = 13.71å, b = 4.75å, c = 10.29å; β = 100.83°; z=2",,poor on {100},,white,transparent to translucent,measured: 52° to 90°,,,"simple, lamellar common on {100}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"titanoan; (mg,fe2+,ti)9 [(f,oh,o)2|(sio4)4]
[6][7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plumbogummite,phosphate minerals,pbal3(po4)2(oh)5·h2o,trigonal,"blue, grey, greenish or yellow","crystals, rare, have a hexagonal outline",uneven or sub-conchoidal,4 to 5 [2][3] or 4.5 to 5[4][5],resinous or dull,4.014,,"uniaxial (+), segments of crystals may be biaxial[5]","no = 1.653[4] or 1.653 to 1.688[5]
ne = 1.675[4] or 1.675 to 1.704[5]

no = 1.722 and ne = 1.742 for ga-rich plumbogummite[6]",,none[6],,,pbg[1],hexagonal scalenohedral (3m) h-m symbol: (3 2/m),r3m,,581.14 g/mol,none,brittle,white,translucent,,,8.bl.10,,42.7.3.5,,,soluble in hot acids,,,,"non-fluorescent, not radioactive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strontianite,carbonate minerals,srco3,orthorhombic,"colourless, white, gray, light yellow, green or brown; colourless in transmitted light","prismatic, acicular, pseudo hexagonal, columnar to fibrous, granular, massive",subconchoidal to uneven,3+1⁄2,,3.74 to 3.78 transparent versions are heavier than the other ones,,biaxial(-),"nα = 1.52, nβ = 1.66, nγ = 1.67",0.15,,almost always fluorescent,,str[1],dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pmcn,"a = 5.1å, b = 8.4å c = 6.0å; z=4",147.63 g/mol,"{110} nearly perfect, {021} poor, {010} traces",brittle,white,transparent to translucent,"measured: 7°, calculated: 12° to 8°",,5.ab.15 (10 ed) 5/b.04-20 (8 ed),"very common, usually contact, rarely penetration, also repeated",14.01.03.03,,,soluble in dilute hcl,,,,,"vitreous, resinous on breaks, greasy",,,,,,,,,,celestine srso4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsavorite,nesosilicate,ca3al2si3o12,cubic,light to deep green,,,7 – 7.5[1],,3.60–3.68[1],,single refractive,1.740[1],,,,,,,,,,,,,,,,,,,,0.028[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
californite,sorosilicate,"ca10(mg, fe)2al4(sio4)5(si2o7)2(oh,f)4",tetragonal,"yellow, green, brown; colorless to white, brown-black, light green, emerald green, violet, blue-green to blue, pink, purple, red, black, commonly zoned","short pyramidal to long prismatic crystals common, massive to columnar",sub conchoidal to irregular,6–7,vitreous to resinous,3.32–3.43,,uniaxial (−),nω = 1.703–1.752nε = 1.700–1.746,0.004–0.006,slight in colored varieties,,,ves[1],ditetragonal dipyramidal (4/mmm) h-m symbol: (4/m 2/m 2/m),p4/nnc,"a = 15.52å, c = 11.82å z=2",,poor on {110} and {100} very poor on {001},brittle,white,subtransparent to translucent,,,9.bg.35,fine twin domains observed,,,,vesuvianite is virtually insoluble in acids,,,,striated lengthwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
