name,crystal system,color,crystal habit,mohs scale hardness,luster,tenacity,diaphaneity,solubility
talc,monoclinic or triclinic[2],"light to dark green, brown, white, grey, colorless","foliated to fibrous masses, rare as platey to pyramidal crystals",1 (defining mineral),waxlike or pearly,sectile,translucent,
friedelite,,,,4 - 5,,,,
brazilianite,monoclinic,"yellow, green, colorless","prismatic crystals, may be radially-fibrous or globular druses",5.5,vitreous,,transparent to translucent,
obsidian,,"usually black; sometimes green or brown; rarely yellow, orange, red or blue[1]",,5–6[2],vitreous,,,
wavellite,orthorhombic,"green to yellowish-green and greenish blue and blue. and yellow, brown, white and colorless","spherical, radial aggregates; striated prisms; crusty to stalactitic",3.5 - 4,"vitreous to resinous, pearly",,translucent,insoluble
hackmanite,cubic,"rich royal blue, green, yellow, violet, white veining common",massive; rarely as dodecahedra,5.5-6,dull vitreous to greasy,brittle,transparent to translucent,soluble in hydrochloric acid and nitric acid
phenakite,trigonal,"colorless, yellow, pink, brown","tabular, prismatic to acicular crystals often as columnar aggregates, as spherulites and granular",7.5 – 8,vitreous,brittle,transparent to translucent,
moldavite,amorphous,olive green,,5.5[1] to 7[2],vitreous,,"opaque, translucent, transparent",
cacholong,,,,,,,,
sapphirine,2m polytype: monoclinic 1a polytype: triclinic,"light to dark blue or green, white, gray, pale red, yellow","anhedral, granular, tabular",7.5,,,transparent to translucent,
rhodonite,triclinic,"pink, rose-pink to brownish red, red, gray and yellow","tabular crystals, massive, granular",5.5–6.5,vitreous to pearly,,transparent to translucent,
creedite,monoclinic,"colorless, white, violet, orange","generally appears as anhedral to subhedral in matrix; bladelike prismatic and radial, drusy to granular aggregates",3.5 - 4,vitreous,brittle,transparent to translucent,
bustamite,triclinic,light pink to brownish red pink color fades on exposure to sunlight,"usually tabular or equant to prismatic; commonly massive, often compact and fibrous",5.5 to 6.5,vitreous,,translucent to transparent,partly soluble in hcl.[3]
pyromorphite,hexagonal,"dark green to grass-green or green, yellow, yellow-orange, reddish orange, yellow-brown, greenish-yellow or yellowish-green, shades of brown, tan, grayish, white and may be colorless; colourless or faintly tinted in transmitted light.","prismatic to acicular crystals, globular to reniform",3.5-4,resinous to subadamantine,brittle,transparent to translucent,
ametrine,hexagonal,"purple , yellow",6-sided prism ending in 6-sided pyramid (typical),7,,,transparent to translucent,insoluble in common solvents
proustite,trigonal,scarlet-vermilion,"crystals prismatic and scalenohedral, massive, compact",2 – 2.5,adamantine,brittle,"translucent, darkens when exposed to light",
iolite,orthorhombic,"blue, smoky blue, bluish violet; greenish, yellowish brown, gray; colorless to very pale blue in thin section in transmitted light","pseudo-hexagonal prismatic twins, as imbedded grains, and massive",7 - 7.5,greasy or vitreous,brittle,transparent to translucent,
väyrynenite,monoclinic,"light pink to rose-red, salmon pink, pale gray, brown",rare as elongated and striated prismatic crystals; fine-grained aggregates,5,vitreous,brittle,transparent to translucent,
verd antique,,,,,,,,
bytownite,triclinic,"colorless, white, gray","rarely as crystals flattened on [010], commonly as cleavable masses or anhedral grains in massive aggregates",6 – 6.5,"vitreous, pearly on cleavages",brittle,transparent to translucent,
alexandrite,orthorhombic,"various shades of green, emerald-green yellow, blue, brownish to greenish black, may be raspberry-red under incandescent light when chromian; colorless, pale shades of yellow, green, or red in transmitted light","crystals tabular or short prismatic, prominently striated",8.5,vitreous,brittle,,
kainite,monoclinic,"colorless; yellow, brownish, greyish-green, red, violet, blue","crystal aggregates, fibrous, massive",2.5-3,vitreous,brittle,transparent,
copal,,,,,,,,
calcite,trigonal,typically colorless or creamy white - may have shades of brownish colors,"botryoidal, concretionary, druse, globular, granular, massive, rhombohedral, scalenohedral, stalactitic",3 (defining mineral),vitreous to pearly on cleavage surfaces,brittle,transparent to translucent,soluble in dilute acids
sarcolite,tetragonal,"flesh-pink, flesh-red, red, reddish white, colourless",,6,vitreous,brittle,translucent,"hf, hcl"
aragonite,orthorhombic,can be a multitude of colors; but is commonly red or white.,"commonly dendritic or pseudo-hexagonal; can also be acicular, tabular, prismatic, coral-like",3.5 - 4,"vitreous, waxy, resinous",very brittle,"transparent, translucent, opaque","soluble in acids, and saltwater (but takes longer)"
lapis lazuli,,,,,,,,
pearl,orthorhombic[1],"white, pink, silver, cream, brown, green, blue, black, yellow, orange, red, gold, purple, iridescent",,2.5–4.5[1],,,,
sunstone,triclinic,"colorless, orange, yellow, red, green, blue, brown and copper shiller","euhedral crystals, granular",6.0–6.5,,,transparent to translucent and opaque,
yttrium aluminium garnet,cubic,"usually colorless, but may be pink, red, orange, yellow, green, blue, purple",,8.5,vitreous to subadamantine,,,
vlasovite,monoclinic,usually colorless or brownish,crystals rare; usually grains and aggregates,6,greasy; vitreous to pearly on cleavage,brittle,transparent to translucent,"nearly insoluble in hcl and hno3, but dissolves easily in a mixture of hf and h2so4[2]"
fayalite,orthorhombic,"greenish yellow, yellow-brown, brown; pale yellow to amber in thin section","commonly granular, compact, or massive",6.5 – 7.0,vitreous to resinous on fractures,,transparent,
triphylite,orthorhombic,"green–blue gray, brown–black","massive, granular, prismatic",4–5,vitreous–subresinous,,transparent–translucent,
stellerite,orthorhombic,"colorless to white, pink, orange","spherical, stellate, tabular",4.5,pearly,,transparent to translucent,
llanite,,,,,,,,
scorodite,orthorhombic,"green, blue-green, grey, grayish-green, blue, yellow-brown, nearly colorless, violet",,3.5-4,"sub-adamantine, vitreous, resinous",,translucent,
caledonite,orthorhombic,blue; green,typically striated prismatic or tabular crystals; radial aggregates,2.5 - 3,vitreous,brittle,transparent to translucent,
stichtite,trigonal,lilac to rose-pink,fibrous to platy aggregates,1.5 - 2,,"flexible, not elastic",transparent,
fluorapophyllite,tetragonal,"colorless, white, pink, pale, yellow, green; in thin section, colorless",tabular to prismatic crystals; may be pseudocubic,4.5-5,"vitreous, pearly on {001}",brittle,transparent to translucent,
garnet,isometric,"virtually all colors, blue is rare",rhombic dodecahedron or cubic,6.5–7.5,vitreous to resinous,,"can form with any diaphaneity, translucent is common",
ruby,trigonal,orangy red through strongly purplish red.,terminated tabular hexagonal prisms,9.0,"subadamantine, vitreous, pearly (on partings)",brittle,"transparent, translucent",
simpsonite,trigonal,"white to cream, yellow to yellow-brown when altered","euhedral, prismatic, striated",7-7.5,vitreous to adamantine,brittle,semitransparent,
benitoite,hexagonal,"blue, colorless","tabular dipyramidal crystals, granular",6 - 6.5,vitreous,,transparent to translucent,"insoluble: hcl, h2so4 soluble: hf"
scolecite,monoclinic,"colorless white, pink, salmon, red or green","thin prismatic needles, radiating groups and fibrous masses",5 to 5+1⁄2,"vitreous, silky when fibrous",brittle,transparent to translucent,soluble in common acids.
wulfenite,tetragonal,"orange-yellow, yellow, honey-yellow, reddish-orange, rarely colorless, grey, brown, olive-green and even black",thin tabular to pyramidal,3,"adamantine, resinous",brittle,transparent to opaque,
villiaumite,cubic,"carmine-red, lavender-pink to light orange","cubic crystals rare, commonly granular, massive",2 - 2.5,vitreous,brittle,transparent,soluble in water
mordenite,orthorhombic,,,,,,,
taaffeite,hexagonal,"colorless, greyish violet, violet red, red, greenish, light green, pink violet, mauve","prismatic, alluvial grains",8–8.5,vitreous,,transparent to translucent,
annabergite,monoclinic,"apple-green, pale green, pale rose or pale pink, white, gray; may be zoned","usually as fibrous veinlets, crystalline crusts, or earthy; rare as well formed crystals",1.5 – 2.5,"subadamantine, pearly on cleavages, may be dull or earthy",sectile,transparent to translucent,
magnesioaxinite,triclinic,"reddish brown to yellow to colorless. blue, violet, grey.","tabular, wedge shaped crystals",6.0–7.5,vitreous,,,
serpentine subgroup,,"green, yellowish-green, blueish-gray (antigorite)green, brown, light yellow to white (lizardite)greyish green to white (chrysotile)",,3.5–4.0 (antigorite)2.5 (lizardite)2.5–3.0 (chrysotile),"vitreous, silky, greasy",,,
colemanite,monoclinic,"colorless, white, yellowish, grey","massive granular to coarsely crystalline, most commonly nodular.",4.5,vitreous,,transparent to translucent,
prehnite,orthorhombic,"colorless to gray to yellow, yellow-green or white","globular, reniform to stalactitic",6 - 6.5,vitreous - pearly,brittle,semi-transparent to translucent,
zektzerite,orthorhombic,"colorless to pink, cream, or white; commonly zoned",stout pseudohexagonal prisms,6,vitreous to pearly,,translucent to transparent,
hodgkinsonite,monoclinic,,,4+1⁄2 - 5,,,,
eudialyte,trigonal,"red, magenta, brown; also blue and yellow","crystals short rhombohedral to long prismatic, granular, irregular masses",5 - 6,vitreous,brittle,transparent to translucent,h2so4
olenite,trigonal,"most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. it can also be bi-colored, or even tri-colored. rarely, it can be found as neon green or electric blue.","parallel and elongated; acicular prisms, sometimes radiating; massive; scattered grains (in granite)",7.0–7.5,"vitreous, sometimes resinous",brittle,translucent to opaque,
malaia garnet,cubic [1],"light to dark slightly pinkish orange, reddish orange, yellowish orange",,7 - 7.5 [1],vitreous [1],,,
carnelian,trigonal,"red, orange, reddish",,6.5 – 7.0,waxy to resinous,,translucent to opaque,
austinite,orthorhombic,"colourless, white to pale yellowish-white or bright green, colourless in transmitted light[4]","well developed orthorhombic crystals of bladed or acicular habit elongated parallel to the c axis, sometimes with sceptre-like terminations, also radially fibrous crusts and nodules. common forms are {110}, {111}, {1–11}, {010} and {011}.[2]",4 to 4.5,subadamantine to silky in fibrous aggregates,brittle,translucent to transparent,easily soluble in cold dilute hcl[2]
celestine,orthorhombic,"white, pink, pale green, pale brown, black, pale blue, reddish, greyish; colourless or lightly tinted in transmitted light","tabular to pyramidal crystals, also fibrous, lamellar, earthy, massive granular",3.0–3.5,"vitreous, pearly on cleavages",brittle,transparent to translucent,
pyrargyrite,trigonal,deep red to red gray,"include prismatic crystals with rhombohedral and scalenohedral faces forming terminations. massive, granular",2.5,adamantine,brittle,translucent to nearly opaque,
scheelite,tetragonal,"colorless, white, gray, dark brown, brown, tan, pale yellow, yellow-orange, golden yellow, pale shades of orange, red, green, etc.; colorless in transmitted light and may be compositionally color zoned","pseudo-octahedra, massive, columnar, granular",4.5–5,vitreous to adamantine,brittle,transparent to opaque,soluble in alkalis. insoluble in acids
ludlamite,monoclinic,apple-green to bright green,"tabular crystals; massive, granular",3.5,"vitreous, pearly on cleavage",,translucent,
opal,amorphous[2],"colorless, white, yellow, red, orange, green, brown, black, blue, pink","irregular veins, in masses, in nodules",5.5–6[2],subvitreous to waxy[2],,"opaque, translucent, transparent","hot salt water, bases, methanol, humic acid, hydrofluoric acid"
tanzanite,orthorhombic[1],"royal blue, indigo, violet/purple",prismatic crystals with striations; massive to columnar[1][2],6.5,"vitreous, pearly on cleavage surfaces",,,
druzy,,,,,,,,
chondrodite,monoclinic,"yellow, orange, red or brown, rarely colorless","typically anhedral masses or grains, or as plates flattened on {010}, {001} or {100}.[2]",6 to 6.5,vitreous to greasy,brittle,translucent,soluble in hcl and h2so4
algodonite,hexagonal,"gray, silver white, steel gray, tarnishes dull bronze","massive, granular. common texture observed in granite and other igneous rock",4,metallic,,opaque,
datolite,monoclinic,"colorless or white; may be grayish, yellow, green, pale green, red, pink, etc.","crystal prismatic, short to tabular; botryoidal or globular with columnar structure; granular to compact; cryptocrystalline",5 to 5.5,"vitreous, rarely subresinous on fracture surface",brittle,"transparent to translucent, rarely opaque",
rosasite,monoclinic,"blue, bluish green, green",acicular crystals as radiating fibrous clusters; botryoidal; mammillary; encrustations,4,"silky, vitreous to dull",brittle,,"effervesces in cold, dilute hydrochloric acid"
anyolite,,,,,,,,
chrysocolla,orthorhombic unknown space group,"blue, cyan (blue-green), green, dark blue to black, brown, rarely yellow","massive, nodular, botryoidal","2.5–3.5 (7 for chrysocolla chalcedony, high-silica content)",vitreous to dull,brittle to sectile,translucent to opaque,
periclase,isometric,"colorless, grayish white, yellow, brownish yellow, green, black","granular, generally occurs as anhedral to subhedral octahedral crystals in matrix",6,vitreous,brittle,transparent to translucent,
yugawaralite,monoclinic,"colorless, pink, or white",,4.5-5,"vitreous, pearly",very brittle,,
vishnevite,hexagonal,"colorless, light blue, orange-yellow, white",,5 - 6,"vitreous, pearly",,,
thaumasite,hexagonal,"colorless, white, pale yellow","prismatic, fibrous, massive, radial",3.5,vitreous to silky,brittle,transparent to translucent,
ilmenite,trigonal,iron-black; gray with a brownish tint in reflected light,granular to massive and lamellar exsolutions in hematite or magnetite,5–6,metallic to submetallic,brittle,opaque,
red beryl,hexagonal,dark red,,7.5-8,,,,
anatase,tetragonal,"black, reddish to yellowish brown, dark blue, gray","pyramidal (crystals are shaped like pyramids), tabular (form dimensions are thin in one direction).",5.5–6,"adamantine to splendent, metallic",brittle,transparent to nearly opaque,
beryllonite,monoclinic,"colorless, white to pale yellow","crystals tabular {010} to short prismatic also in spherical aggregates, fibrous, massive; orthorhombic pseudo-symmetry",5.5 - 6,"vitreous to adamantine, may be pearly on {010}",brittle,transparent to translucent,
rhodizite,,,,,,,,
tactite,,,,,,,,
witherite,orthorhombic,"colorless, white, pale gray, with possible tints of pale-yellow, pale-brown, or pale-green","striated short prismatic crystals, also botryoidal to spherical,
columnar fibrous, granular, massive.",3.0 - 3.5,"vitreous, resinous on fractures",,subtransparent to translucent,
hiddenite,,,,,,,,
sard,trigonal,"red, orange, reddish",,6.5 – 7.0,waxy to resinous,,translucent to opaque,
arfvedsonite,monoclinic,"black, deep green on thin edges","fibrous, radial prismatic aggregates",5–6,vitreous,brittle,translucent to opaque,
plagioclase,triclinic,"white, gray, or bluish white",,6–6.5,vitreous,,transparent to translucent,"albite insoluble in hcl, anorthite decomposed by hcl[2]"
crocoite,monoclinic,"orange, red, yellow; orange-red in transmitted light.",coarsely crystalline to acicular,2.5–3,"adamantine, sub-adamantine, sub-vitreous, resinous, waxy",sectile,transparent to translucent,
ivory,,,,,,,,
concretion,,,,,,,,
esperite,monoclinic,white,typically massive,5 - 5.5,vitreous,,subtranslucent to opaque,
bronzite,,,,,,,,
kutnohorite,trigonal,"white, pale pink or light brown",aggregates of bundled bladed crystals,3.5–4,vitreous to dull,brittle,translucent,soluble in acids
ekanite,tetragonal,"green, yellow, dark red","pyramidal crystals, granular to massive",4.5,vitreous,,transparent to translucent,
tugtupite,tetragonal,"white, pink, crimson, blue, green",,4,vitreous,,,
strontium titanate,,,,,,,,
operculum,,,,,,,,
pollucite,isometric,"usually colorless, also white, grey, pink, blue or violet","usually massive, rare crystals are normally trapezohedral or cubic",6.5 to 7,vitreous to greasy,brittle,transparent to translucent,"readily soluble in hf, dissolves with difficulty in hot hcl"
aegirine,monoclinic,"dark green, greenish black","prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions",6,vitreous to slightly resinous,brittle,translucent to opaque,
dumortierite,orthorhombic,"blue, greenish-blue, violet-blue, pale blue, red",as fibrous or columnar crystals; coarsely crystalline to intimate parallel aggregates of needles; massive,7 - 8.5,vitreous to dull,,transparent to translucent,
clintonite,monoclinic,"colorless, yellow, orange, red-brown, brown, green",tabular pseudohexagonal crystals; foliated or lamellar radiated; massive,"3.5 on {001}, 6 at angle to {001}","vitreous, pearly, submetallic",brittle,transparent to translucent,
childrenite,orthorhombic,"yellowish brown, brown, clove-brown; colorless in transmitted light.",,5,"vitreous, resinous",,"transparent, translucent",soluble in acids.
rossmanite,trigonal,"most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in-between. it can also be bi-colored, or even tri-colored. rarely, it can be found as neon green or electric blue.","parallel and elongated; acicular prisms, sometimes radiating; massive; scattered grains (in granite)",7.0–7.5,"vitreous, sometimes resinous",brittle,translucent to opaque,
sellaite,tetragonal,colorless to white,"prismatic crystals; fibrous, radial, spherulitic",5–5.5,vitreous,brittle,transparent,
hauyne,isometric,"blue, white, gray, yellow, green, pink",dodecahedral or pseudo-octahedral,5 to 6,vitreous to greasy,brittle,transparent to translucent,gelatinises in acids
selenite,monoclinic (2/m) space group: a2/a,"brown green, brownish yellow, greenish, gray green, gray white","earthy – dull, clay-like texture with no visible crystalline affinities, (e.g. howlite)",2,pearly,,,
hematite,trigonal,"metallic grey, dull to bright ""rust-red"" in earthy, compact, fine-grained material, steel-grey to black in crystals and massively crystalline ores","tabular to thick crystals; micaceous or platy, commonly in rosettes; radiating fibrous, reniform, botryoidal or stalactitic masses, columnar; earthy, granular, oolitic",5.5–6.5,metallic to splendent,brittle,opaque,
shungite,,,,,,,,
jasper,hexagonal,"most commonly red, but may be yellow, brown, green or (rarely) blue",,6.5-7,vitreous,,opaque,
musgravite,trigonal,grey green to green,,8–8.5,vitreous,,transparent,
sepiolite,orthorhombic,"grayish white, white, white with a yellowish or reddish tinge; bluish green","compact nodular, earthy, clayey, massive; rarely fine fibrous along [001]",2,"dull, earthy",,opaque,
goshenite,,colorless[1],,,,,,
beryl,hexagonal,"green, blue, yellow, colorless, pink, and others","prismatic to tabular crystals; radial, columnar; granular to compact massive",7.5–8.0,vitreous to resinous,brittle,transparent to translucent,
maw sit sit,,,,,,,,
iddingsite,,,,,,,,
nambulite,triclinic,reddish orange brown,prismatic,6.5,vitreous – adamantine,brittle,transparent to translucent,
orthoclase,monoclinic,"colorless, greenish, greyish yellow, white, pink",can be anhedral or euhedral. grains are commonly elongate with a tabular appearance.,6 (defining mineral),"vitreous, pearly on cleavage surfaces",,transparent to translucent,
,,,,,,,,
heliotrope,trigonal,green with red or yellow spots,,6.5–7,vitreous,,,
chrysoberyl,orthorhombic,"various shades of green, emerald-green yellow, blue, brownish to greenish black, may be raspberry-red under incandescent light when chromian; colorless, pale shades of yellow, green, or red in transmitted light","crystals tabular or short prismatic, prominently striated",8.5,vitreous,brittle,,
labradorite,triclinic,"gray, gray-white, brown, greenish, pale green, blue, yellow, colorless","crystals typically thin and tabular, rhombic in cross section, striated; massive",6–6.5,vitreous to pearly on cleavages,,translucent to transparent,
petalite,monoclinic,"colorless, grey, yellow, pink, to white",tabular prismatic crystals and columnar masses,6 – 6.5,"vitreous, pearly on cleavages",brittle,transparent to translucent,insoluble
linarite,monoclinic,deep azure blue,crystals elongated and tabular; in crusts and aggregates,2.5,"sub-adamantine, vitreous",,"transparent, translucent",
monazite,monoclinic,"orange, purple, reddish brown, brown, pale yellow, pink, blue, green, gray,",commonly as prismatic or wedge-shaped crystals,5.0–5.5,"resinous, vitreous to adamantine",,translucent to opaque,
fluorite,isometric,"colorless, although samples are often deeply colored owing to impurities; purple, lilac, golden-yellow, green, blue, pink, champagne, brown.","well-formed coarse sized crystals; also nodular, botryoidal, rarely columnar or fibrous; granular, massive",4 (defining mineral),vitreous,brittle,transparent to translucent,slightly water soluble and in hot hydrochloric acid
gahnite,cubic,"dark green, bluish green, blue to indigo, yellow to brown","typically octahedra, rarely as dodecahedra also massive to granular",7.5–8.0,vitreous,,translucent to nearly opaque,
terbium gallium garnet,,,,,,,,
azurite,monoclinic,"azure-blue, dark to pale blue; pale blue in transmitted light","massive, prismatic, stalactitic, tabular",3.5 to 4,vitreous,brittle,transparent to translucent,
mimetite,hexagonal,"pale to bright yellow, yellowish brown, yellow-orange, white, may be colorless","prismatic to acicular crystals; reniform, botryoidal, globular,",3.5 - 4,"resinous, subadamantine",brittle,transparent to translucent,
ussingite,triclinic,"pale to medium violet, reddish violet; sometimes barely tinted purple",,6-7,sub-vitreous,brittle,"transparent, translucent",
celsian,monoclinic,"colorless, white, yellow","short prismatic to acicular crystals, massive",6–6.5,vitreous,brittle,transparent,
zeolites,,,,,,,,
bort,,"varies (white to yellowish in powder form, yellow to brownish in larger shards)",,,,,,
sillimanite,orthorhombic,"colourless or white to grey, also brown, yellow, yellow-green, grey-green, blue-green, blue; colourless in thin section","prismatic crystals, fibrous, acicular",7,"vitreous to subadamantine, silky",tough,transparent to translucent,
radiolarite,,,,,,,,
cordierite,orthorhombic,"blue, smoky blue, bluish violet; greenish, yellowish brown, gray; colorless to very pale blue in thin section in transmitted light","pseudo-hexagonal prismatic twins, as imbedded grains, and massive",7 - 7.5,greasy or vitreous,brittle,transparent to translucent,
onyx,trigonal,various,,6.5–7,"vitreous, silky",,translucent,
shocked quartz,,,,,,,,
titanite,monoclinic,"reddish brown, brown, gray, black, yellow, green, or red, colourless","flattened wedge-shaped crystals, also massive",5 to 5.5,subadamantine tending to slightly resinous,,translucent to transparent,
rock crystal,α-quartz: trigonal β-quartz: hexagonal,"colorless through various colors (pink, orange, purple, dark brown)
 to black","6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive",7– lower in impure varieties (defining mineral),vitreous– waxy to dull when massive,brittle,transparent to nearly opaque,insoluble at stp; 1ppmmass at 400°c and 500 lb/in2 to 2600ppmmass at 500°c and 1500 lb/in2[3]
gaylussite,monoclinic,"colorless, white, yellow, and grey",tabular prismatic crystals also granular,2.5,vitreous,,,decomposes in water
brucite,trigonal,"white, pale green, blue, gray; honey-yellow to brownish red",tabular crystals; platy or foliated masses and rosettes – fibrous to massive,2.5 to 3,vitreous to pearly,sectile,transparent,
clinozoisite,monoclinic,"colorless, green, gray, light green, yellow green, pink","elongated primatic crystals, striated; granular to fibrous",6-7,vitreous,brittle,transparent to translucent,
zultanite,,,,,,,,
zinnwaldite,monoclinic,"gray-brown, yellow-brown, pale violet, dark green, color zoning common","well-formed short prismatic or tabular crystals, pseudohexagonal, in rosettes or fan-shaped groups; lamellar or scaly aggregates; disseminated.",3.5 - 4.0,pearly to vitreous,"laminae °exible, elastic",transparent to translucent,
dolomite,trigonal,"white, grey to pink, reddish-white, brownish-white; colourless in transmitted light","tabular crystals, often with curved faces, also columnar, stalactitic, granular, massive.",3.5–4.0,vitreous to pearly,brittle,,poorly soluble in dilute hcl
axinite,triclinic,"reddish brown to yellow to colorless. blue, violet, grey.","tabular, wedge shaped crystals",6.0–7.5,vitreous,,,
tiger's eye,,golden to red-brown,,6.5-7,silky,,,
catapleiite,,,,,,,,
almandine,cubic,"reddish orange to red, slightly purplish red to reddish purple and usually dark in tone",,7.0–7.5,greasy to vitreous,,,
powellite,tetragonal,"straw-yellow, greenish yellow, yellow-brown, brown, colorless, may show blue to black zones","flat tabular crystals often paper-thin on {001}, may be crusty to pulverulent or massive",3.5-4,adamantine,,transparent,
pyrrhotite,"monoclinic, with hexagonal polytypes","bronze, dark brown",tabular or prismatic in hexagonal prisms; massive to granular,3.5 – 4.5,metallic,,,soluble in hydrochloric acid
maxixe,,,,7.5 to 8,,,,
golden beryl,hexagonal,"green, blue, yellow, colorless, pink, and others","prismatic to tabular crystals; radial, columnar; granular to compact massive",7.5–8.0,vitreous to resinous,brittle,transparent to translucent,
spinel,cubic,"various; red, pink, blue, lavender/violet, dark green, brown, black, colourless",octahedral or flat triangular plates caused by twinning,7.5–8.0,vitreous,,transparent to opaque,none
libyan desert glass,,,,,,,,
iridescent,,,,,,,,
lazurite,isometric,"deep blue, azure, violet-blue, greenish blue","crystals occur as dodecahedra, or rarely cubes; granular, disseminated, or massive",5–5.5,vitreous,brittle,translucent to opaque,soluble in hcl
hanksite,hexagonal,"colorless to pale yellow, may be grayish green due to clay inclusions",occurs as short prismatic to tabular hexagonal crystals,3–3.5,vitreous to dull,brittle,transparent to translucent,readily soluble in water
glimmerite,,,,,,,,
cassiterite,tetragonal,"black, brownish black, reddish brown, brown, red, yellow, gray, white; rarely colorless","pyramidic, prismatic, radially fibrous botryoidal crusts and concretionary masses; coarse to fine granular, massive",6–7,"adamantine to adamantine metallic, splendent; may be greasy on fractures",brittle,"transparent when light colored, dark material nearly opaque; commonly zoned",insoluble
glaucophane,monoclinic,"gray, navy blue, lavender-blue","slender long prisms, massive granular to columnar",6.0 - 6.5,vitreous - pearly,,translucent,
hypersthene,orthorhombic,"gray, brown, or green",,5.5–6,vitreous to pearly,,,
hexagonite,,"red to pink, lilac to purple","elongated, bladed crystals, granula",5.0–6.0,vitreous,brittle,,
piemontite,monoclinic,"reddish-brown, reddish-black","slender prismatic, blocky to massive",6 - 6.5,vitreous,brittle,translucent to nearly opaque,
lazulite,monoclinic,"azure-blue, sky-blue, bluish white, yellow-green, blue-green, rarely green","tabular, acute to stubby bipyramidal crystals; granular, massive",5.5 - 6.0,vitreous,brittle,transparent to translucent to nearly opaque,insoluble
chrysoprase,trigonal,olive to applegreen,microcrystalline aggregates,6.0–7.0,"greasy, waxy",brittle,nearly opaque to nearly transparent,
rhodochrosite,trigonal,"pink, rose, rose-red, red, cherry-red, yellow, yellowish grey, grey, cinnamon-brown, white, may be banded; colourless to pale rose in transmitted light.","rhombohedral and scalenohedral crystals; also commonly bladed, columnar, stalactitic, botryoidal, granular or massive",3.5–4,,brittle,transparent to translucent,
astrophyllite,triclinic,golden brown to yellow; rarely greenish,"tabular to bladed, radiating, stellate aggregates; lamellar masses",3-4,"greasy, pearly, sub-metallic",,translucent to opaque,
morganite,,pink,,7.5 to 8,,,,
huebnerite,monoclinic,"yellowish brown to reddish brown, blackish brown, black; deep red internal reflections in reflected light","prismatic striated crystals, tabular to flattened, in radiating groups",4-4+1⁄2,metallic to adamantine towards resinous.,brittle,transparent to translucent,
shortite,orthorhombic,"colourless, light yellow, light green",,3,,,transparent,
albite,triclinic,"white to gray, blueish, greenish, reddish; may be chatoyant","crystals commonly tabular, divergent aggregates, granular, cleavable massive",6–6.5,"vitreous, typically pearly on cleavages",brittle,transparent to translucent,
tinzenite,triclinic,"reddish brown to yellow to colorless. blue, violet, grey.","tabular, wedge shaped crystals",6.0–7.5,vitreous,,,
zircon,tetragonal,"reddish brown, yellow, green, blue, gray, colorless; in thin section, colorless to pale brown","tabular to prismatic crystals, irregular grains, massive",7.5,vitreous to adamantine; greasy when metamict.,brittle,transparent to opaque,insoluble
hawk's eye,,golden to red-brown,,6.5-7,silky,,,
langbeinite,cubic,"colorless with pale shades of yellow, pink, red, green, gray","as nodules, disseminated grains, bedded massive",3.5 - 4,vitreous,brittle,transparent,280 g/l (20°c);[2] slowly dissolves in water[3]
mottramite,orthorhombic,"grass-green, olive-green, yellow-green, siskin-green, blackish brown, nearly black","encrustations, aggregates of plume-like forms and radial crystals[2]",3 - 3+1⁄2,,brittle,"transparent, opaque",readily soluble in acids[3]
andalusite,orthorhombic,"pink, violet, yellow, green, white, gray; in thin section, colorless to pink or green",as euhedral crystals or columnar aggregates having nearly square cross sections; fibrous compact to massive,6.5 - 7.5,vitreous,,transparent to nearly opaque with inclusions,
rainbow lattice sunstone,,,,,,,,
indicolite,trigonal,"green, red to pink, blue, orange, yellow, colorless, multicolored",prismatic; striated,7+1⁄2,vitreous,,transparent to opaque,
fluorapatite,hexagonal,"sea-green, violet, purple, blue, pink, yellow, brown, white, colorless, may be zoned",massive to prismatic crystalline,5,"vitreous, resinous to dull",,transparent to opaque,
serendibite,triclinic,"pale yellow, blue-green, greyish blue, black",,6.5 - 7,vitreous,,"transparent, translucent,opaque",
sulfur,,,,,,,,
chambersite,orthorhombic,colorless to deep purple,pseudocubic crystals,7,vitreous,,transparent to opaque,
sanidine,monoclinic,colorless to white,"tabular crystals, may be acicular",6,"vitreous, pearly on cleavage",brittle,transparent to translucent,
papagoite,monoclinic,"dark blue crystals, light blue when massive","massive; cryptocrystalline, forming flat elongated crystals",5–5.5,vitreous to dull,,,
pyrite,cubic,pale brass-yellow reflective; tarnishes darker and iridescent,"cubic, faces may be striated, but also frequently octahedral and pyritohedral. often inter-grown, massive, radiated, granular, globular, and stalactitic.",6–6.5,"metallic, glistening",brittle,opaque,insoluble in water
smaltite,,,,,,,,
bornite,orthorhombic,"copper red, bronze brown, purple","granular, massive, disseminated – crystals pseudocubic, dodecahedral, octahedral",3–3.25,"metallic if fresh, iridescent tarnish",brittle,,
trapiche emerald,,,,,,,,
